# Version 1.00
#
freq[Hz];re:Trc1_S21;im:Trc1_S21;
1.390000001000000E+09;3.767815167226306E-04;4.604172541538657E-04;
1.390060061060060E+09;3.790434914753915E-04;4.547100155469131E-04;
1.390120121120120E+09;3.959401502834026E-04;4.672606229538844E-04;
1.390180181180180E+09;3.979974031433474E-04;4.581334149426076E-04;
1.390240241240240E+09;4.119208958281087E-04;4.736345066277743E-04;
1.390300301300300E+09;4.114224110642584E-04;4.731413317992944E-04;
1.390360361360360E+09;4.067264301883063E-04;4.692233044753970E-04;
1.390420421420420E+09;4.234039844112083E-04;4.792497340642050E-04;
1.390480481480480E+09;4.154903977815327E-04;4.927373957268232E-04;
1.390540541540540E+09;4.336130133094759E-04;4.926280034028130E-04;
1.390600601600601E+09;4.292169037105182E-04;4.970373520553964E-04;
1.390660661660661E+09;4.292704486251434E-04;4.917102056104365E-04;
1.390720721720721E+09;4.524472925590598E-04;5.037674181386513E-04;
1.390780781780781E+09;4.445706875947385E-04;5.024946569034525E-04;
1.390840841840841E+09;4.447930323332304E-04;5.192691605353688E-04;
1.390900901900901E+09;4.595586681971340E-04;5.088761001610336E-04;
1.390960961960961E+09;4.512390622434144E-04;5.342524548503052E-04;
1.391021022021021E+09;4.564498360400105E-04;5.321528771983521E-04;
1.391081082081081E+09;4.766760725392312E-04;5.520946924176274E-04;
1.391141142141141E+09;4.771424539434916E-04;5.409571777530901E-04;
1.391201202201201E+09;4.879775827202878E-04;5.573330036139891E-04;
1.391261262261261E+09;4.888174726670840E-04;5.577637832947967E-04;
1.391321322321321E+09;4.749317216674982E-04;5.512326680101190E-04;
1.391381382381381E+09;4.970396149872324E-04;5.671719178222197E-04;
1.391441442441442E+09;5.215779258849306E-04;5.731861989642243E-04;
1.391501502501502E+09;5.060603258082895E-04;5.749197732974659E-04;
1.391561562561562E+09;5.281697666278785E-04;5.761593288662100E-04;
1.391621622621622E+09;5.461718948863141E-04;5.977743132084052E-04;
1.391681682681682E+09;5.203632606984570E-04;5.868846472526659E-04;
1.391741742741742E+09;5.427978770154353E-04;5.944825105334804E-04;
1.391801802801802E+09;5.467959404584022E-04;6.173639661903902E-04;
1.391861862861862E+09;5.738084809294068E-04;6.005895312767664E-04;
1.391921922921922E+09;5.549875889910288E-04;6.121907369885176E-04;
1.391981982981982E+09;5.698116982217818E-04;6.160804461650172E-04;
1.392042043042042E+09;5.755696223103980E-04;6.456368319516088E-04;
1.392102103102102E+09;5.933866103367105E-04;6.221540310028662E-04;
1.392162163162162E+09;5.995832862379839E-04;6.314933995798252E-04;
1.392222223222222E+09;5.940177717434614E-04;6.308601199761275E-04;
1.392282283282282E+09;6.127966952167878E-04;6.382845179821699E-04;
1.392342343342342E+09;6.290368997458610E-04;6.583646464314083E-04;
1.392402403402402E+09;6.211399057869457E-04;6.564908667382157E-04;
1.392462463462462E+09;6.287536801042235E-04;6.731556721346790E-04;
1.392522523522522E+09;6.255770196018605E-04;6.654860789987868E-04;
1.392582583582582E+09;6.490463365766432E-04;6.631684547243330E-04;
1.392642643642643E+09;6.493204916067592E-04;6.759255317339669E-04;
1.392702703702703E+09;6.606169623621663E-04;7.024062831418058E-04;
1.392762763762763E+09;6.654270506305292E-04;6.983403156083297E-04;
1.392822823822823E+09;6.757470735645902E-04;6.992777268432810E-04;
1.392882883882883E+09;6.923471961132030E-04;7.144738588611827E-04;
1.392942943942943E+09;6.975113568893938E-04;7.083403510583850E-04;
1.393003004003003E+09;7.040664605111525E-04;7.269012548863071E-04;
1.393063064063063E+09;7.191706389151006E-04;7.312882012267121E-04;
1.393123124123123E+09;7.211997881496436E-04;7.336461232491412E-04;
1.393183184183183E+09;7.503983306987333E-04;7.499475667296390E-04;
1.393243244243243E+09;7.462463775944727E-04;7.510050439332884E-04;
1.393303304303303E+09;7.574926965537442E-04;7.537077372452549E-04;
1.393363364363363E+09;7.615359151735170E-04;7.695812671014304E-04;
1.393423424423424E+09;7.622829729477730E-04;7.722671765127864E-04;
1.393483484483484E+09;7.885346068361507E-04;7.801886971914565E-04;
1.393543544543544E+09;8.011333474454769E-04;8.019524275886104E-04;
1.393603604603604E+09;8.025201586801794E-04;8.130106928332131E-04;
1.393663664663664E+09;8.048602430814157E-04;8.138240510653437E-04;
1.393723724723724E+09;8.243190069483654E-04;8.120604387774182E-04;
1.393783784783784E+09;8.417377449032804E-04;8.283065105227394E-04;
1.393843844843844E+09;8.607089839712385E-04;8.360503335447443E-04;
1.393903904903904E+09;8.577333638502625E-04;8.351543147267976E-04;
1.393963964963964E+09;8.701870669879267E-04;8.432842117429979E-04;
1.394024025024024E+09;8.864863204578460E-04;8.708599265427885E-04;
1.394084085084084E+09;9.052881185076929E-04;8.656060412424409E-04;
1.394144145144144E+09;9.319259770710739E-04;8.695747723324352E-04;
1.394204205204204E+09;9.147623940326265E-04;8.790650509302567E-04;
1.394264265264264E+09;9.339567678080058E-04;8.918126321735925E-04;
1.394324325324324E+09;9.323120639325980E-04;9.011216464335486E-04;
1.394384385384384E+09;9.576657078585886E-04;9.150452826696178E-04;
1.394444445444444E+09;9.836733379321473E-04;9.263486173065514E-04;
1.394504505504504E+09;9.876756287321255E-04;9.205266562452496E-04;
1.394564565564564E+09;1.013623481106803E-03;9.463144629674436E-04;
1.394624625624625E+09;1.016294189632842E-03;9.602536814763077E-04;
1.394684685684685E+09;1.027466547179022E-03;9.636504207405353E-04;
1.394744745744745E+09;1.048576430182060E-03;9.764445077792779E-04;
1.394804805804805E+09;1.039780423450680E-03;9.734600935826076E-04;
1.394864865864865E+09;1.071801644171034E-03;1.000586768045294E-03;
1.394924925924925E+09;1.085191694854013E-03;9.959298483876425E-04;
1.394984985984985E+09;1.113060934333742E-03;1.002033024067939E-03;
1.395045046045045E+09;1.131895877295677E-03;1.031431580687972E-03;
1.395105106105105E+09;1.149874859226040E-03;1.021216655503233E-03;
1.395165166165165E+09;1.156261098235644E-03;1.038802337329474E-03;
1.395225226225225E+09;1.162949639414035E-03;1.055971059566511E-03;
1.395285286285285E+09;1.176461897372340E-03;1.059174647688508E-03;
1.395345346345345E+09;1.202489514799200E-03;1.074744269062137E-03;
1.395405406405406E+09;1.215595121722720E-03;1.083119633056120E-03;
1.395465466465466E+09;1.233026647241869E-03;1.086822778319828E-03;
1.395525526525526E+09;1.253750381249884E-03;1.113047695969345E-03;
1.395585586585586E+09;1.271538276526208E-03;1.116369868585121E-03;
1.395645646645646E+09;1.296022693320099E-03;1.132543451167732E-03;
1.395705706705706E+09;1.290227632612572E-03;1.149471859961115E-03;
1.395765766765766E+09;1.329840483753925E-03;1.158505326614136E-03;
1.395825826825826E+09;1.333330461666415E-03;1.169622287951141E-03;
1.395885886885886E+09;1.368542150170780E-03;1.174345864792742E-03;
1.395945946945946E+09;1.381612781448946E-03;1.175156221941060E-03;
1.396006007006006E+09;1.405624231955123E-03;1.203082187409632E-03;
1.396066067066066E+09;1.411682491798910E-03;1.226765686134905E-03;
1.396126127126126E+09;1.451750809844585E-03;1.228316405495853E-03;
1.396186187186186E+09;1.464155621740524E-03;1.238549992344195E-03;
1.396246247246246E+09;1.484728595309548E-03;1.244822573877072E-03;
1.396306307306306E+09;1.500536719471939E-03;1.267977119970862E-03;
1.396366367366366E+09;1.533283993307428E-03;1.270992183478051E-03;
1.396426427426426E+09;1.569017067501056E-03;1.291596690023155E-03;
1.396486487486486E+09;1.588051888300885E-03;1.314868123889804E-03;
1.396546547546546E+09;1.606725802125796E-03;1.313527226530508E-03;
1.396606607606607E+09;1.617267548991817E-03;1.337867861231139E-03;
1.396666667666667E+09;1.652898559579565E-03;1.340455535208857E-03;
1.396726727726727E+09;1.671191502068680E-03;1.362421736656265E-03;
1.396786787786787E+09;1.703615064071117E-03;1.364990032942036E-03;
1.396846847846847E+09;1.731381464098374E-03;1.379279076853872E-03;
1.396906907906907E+09;1.757219768021938E-03;1.403152727540682E-03;
1.396966967966967E+09;1.772882809112476E-03;1.422480384307704E-03;
1.397027028027027E+09;1.799510075039537E-03;1.421872555850118E-03;
1.397087088087087E+09;1.829806862150858E-03;1.443684658728056E-03;
1.397147148147147E+09;1.875458967927863E-03;1.466013033715936E-03;
1.397207208207207E+09;1.902074754126699E-03;1.488726642170230E-03;
1.397267268267267E+09;1.925172508102636E-03;1.496362983953329E-03;
1.397327328327327E+09;1.973944828741810E-03;1.514871147807496E-03;
1.397387388387387E+09;1.973557503195673E-03;1.536402310331483E-03;
1.397447448447448E+09;2.009440021333431E-03;1.552172832720695E-03;
1.397507508507508E+09;2.051285747624315E-03;1.557317366259683E-03;
1.397567568567568E+09;2.087059950629915E-03;1.570764451896886E-03;
1.397627628627628E+09;2.126280510225713E-03;1.587232334985635E-03;
1.397687688687688E+09;2.138746351823444E-03;1.610702440694950E-03;
1.397747748747748E+09;2.180397224089395E-03;1.632696709725845E-03;
1.397807808807808E+09;2.200394647590350E-03;1.649966544986190E-03;
1.397867868867868E+09;2.247414070054710E-03;1.671540254993282E-03;
1.397927928927928E+09;2.283747072337983E-03;1.693985064703054E-03;
1.397987988987988E+09;2.323732467507888E-03;1.703077584935754E-03;
1.398048049048048E+09;2.369963016227991E-03;1.735210571605937E-03;
1.398108109108108E+09;2.404378227438412E-03;1.738735539649622E-03;
1.398168169168168E+09;2.437392064456793E-03;1.757676047592848E-03;
