# Version 1.00
#
freq[Hz];re:Trc1_S21;im:Trc1_S21;
1.390000001000000E+09;3.461773207570722E-04;5.088566456834658E-04;
1.390060061060060E+09;3.404588527441338E-04;5.087619732406255E-04;
1.390120121120120E+09;3.525411430504776E-04;5.066730300301323E-04;
1.390180181180180E+09;3.585391582134102E-04;5.179492813853560E-04;
1.390240241240240E+09;3.555099160287544E-04;5.256023638122208E-04;
1.390300301300300E+09;3.607049892328984E-04;5.208140636001352E-04;
1.390360361360360E+09;3.686450767590875E-04;5.524448946262014E-04;
1.390420421420420E+09;3.816967246123358E-04;5.345800812558090E-04;
1.390480481480480E+09;3.629519188050101E-04;5.455002233024822E-04;
1.390540541540540E+09;3.669935893098049E-04;5.551133383097400E-04;
1.390600601600601E+09;3.939355009208685E-04;5.602041274695639E-04;
1.390660661660661E+09;4.086195593538358E-04;5.607552325408622E-04;
1.390720721720721E+09;4.130891137271919E-04;5.739956163778965E-04;
1.390780781780781E+09;4.013172647053010E-04;5.679053400575585E-04;
1.390840841840841E+09;4.054105678316139E-04;5.805379567668570E-04;
1.390900901900901E+09;4.064977885577407E-04;5.688083591045481E-04;
1.390960961960961E+09;4.183079698864388E-04;5.855614534169564E-04;
1.391021022021021E+09;4.150885965612376E-04;5.915171455308946E-04;
1.391081082081081E+09;4.317765507044421E-04;5.920626688784071E-04;
1.391141142141141E+09;4.298707479917071E-04;6.071039587954956E-04;
1.391201202201201E+09;4.371474986747802E-04;6.099546498667961E-04;
1.391261262261261E+09;4.455161224156368E-04;6.135452309180874E-04;
1.391321322321321E+09;4.340543273261841E-04;6.194514545136438E-04;
1.391381382381381E+09;4.653933545334328E-04;6.197527512349810E-04;
1.391441442441442E+09;4.665998582759929E-04;6.429001085269193E-04;
1.391501502501502E+09;4.787717163552546E-04;6.356632537893480E-04;
1.391561562561562E+09;4.711890447192855E-04;6.429179183568253E-04;
1.391621622621622E+09;4.661019467043379E-04;6.473830340400923E-04;
1.391681682681682E+09;4.780472209036732E-04;6.709875516905365E-04;
1.391741742741742E+09;4.838509933965944E-04;6.754558138119429E-04;
1.391801802801802E+09;5.136633046251096E-04;6.902240118721072E-04;
1.391861862861862E+09;5.093793831305267E-04;6.817388993988112E-04;
1.391921922921922E+09;5.149804082079914E-04;6.812182868802447E-04;
1.391981982981982E+09;5.178764842304598E-04;6.924244382602757E-04;
1.392042043042042E+09;5.173268931675062E-04;6.883818805960469E-04;
1.392102103102102E+09;5.460419676469622E-04;6.883326548419721E-04;
1.392162163162162E+09;5.481395722924926E-04;7.059043945185533E-04;
1.392222223222222E+09;5.440086264748068E-04;7.116812071989443E-04;
1.392282283282282E+09;5.562472078191044E-04;7.282965547429121E-04;
1.392342343342342E+09;5.677551968444228E-04;7.333534404929550E-04;
1.392402403402402E+09;5.534418801276552E-04;7.353787695348642E-04;
1.392462463462462E+09;5.695032373387180E-04;7.500064739969655E-04;
1.392522523522522E+09;5.833842335463413E-04;7.558768262130178E-04;
1.392582583582582E+09;5.834123780299791E-04;7.593533795538900E-04;
1.392642643642643E+09;5.912162645621286E-04;7.629107976060221E-04;
1.392702703702703E+09;6.059477963616266E-04;7.693165018877389E-04;
1.392762763762763E+09;6.266942390443663E-04;7.904919230752671E-04;
1.392822823822823E+09;6.230566629119883E-04;7.942859236346521E-04;
1.392882883882883E+09;6.392885059861123E-04;7.867948050602374E-04;
1.392942943942943E+09;6.325293918071019E-04;8.174982993113704E-04;
1.393003004003003E+09;6.563452815095701E-04;8.059146937209716E-04;
1.393063064063063E+09;6.720372518591283E-04;8.369623925066038E-04;
1.393123124123123E+09;6.506356168339026E-04;8.359802279327571E-04;
1.393183184183183E+09;6.763888869711763E-04;8.461184810540951E-04;
1.393243244243243E+09;6.852388959477201E-04;8.430293008471369E-04;
1.393303304303303E+09;6.879451636941001E-04;8.489727018752326E-04;
1.393363364363363E+09;7.104879164800088E-04;8.634029473693856E-04;
1.393423424423424E+09;7.200929240564997E-04;8.703691488757611E-04;
1.393483484483484E+09;7.261688078508043E-04;8.862592836910343E-04;
1.393543544543544E+09;7.412267827639759E-04;8.926796896633106E-04;
1.393603604603604E+09;7.426446702110467E-04;9.063080410780487E-04;
1.393663664663664E+09;7.566453136206558E-04;9.201510653842430E-04;
1.393723724723724E+09;7.516445859547346E-04;9.191419646784552E-04;
1.393783784783784E+09;7.896531702031206E-04;9.308393060017534E-04;
1.393843844843844E+09;7.850181037513201E-04;9.261593879494802E-04;
1.393903904903904E+09;7.901952416719736E-04;9.435397129222820E-04;
1.393963964963964E+09;8.023251589484900E-04;9.670178772800003E-04;
1.394024025024024E+09;8.080948450905971E-04;9.727478281563930E-04;
1.394084085084084E+09;8.195165730106190E-04;9.680494767011435E-04;
1.394144145144144E+09;8.310637839063023E-04;9.848977902122342E-04;
1.394204205204204E+09;8.412295894342427E-04;1.006402024865174E-03;
1.394264265264264E+09;8.568858333237517E-04;1.016841310961501E-03;
1.394324325324324E+09;8.691953666992102E-04;1.015122202835186E-03;
1.394384385384384E+09;8.919042715336472E-04;1.033261503602702E-03;
1.394444445444444E+09;9.116978514468276E-04;1.040083299419181E-03;
1.394504505504504E+09;9.237080998242730E-04;1.054912569244244E-03;
1.394564565564564E+09;9.247473825871357E-04;1.064940246388804E-03;
1.394624625624625E+09;9.455250945161384E-04;1.054700083096786E-03;
1.394684685684685E+09;9.433906938058605E-04;1.082579225419398E-03;
1.394744745744745E+09;9.734148843164501E-04;1.096397528191532E-03;
1.394804805804805E+09;9.895026510373809E-04;1.100088219138347E-03;
1.394864865864865E+09;1.002097952880907E-03;1.119344894444601E-03;
1.394924925924925E+09;1.015471604909239E-03;1.123935980174211E-03;
1.394984985984985E+09;1.020630545999259E-03;1.147404130610878E-03;
1.395045046045045E+09;1.033044093747145E-03;1.171985317230545E-03;
1.395105106105105E+09;1.055216208052778E-03;1.164617633186901E-03;
1.395165166165165E+09;1.068746818362015E-03;1.175365541160941E-03;
1.395225226225225E+09;1.083740079582996E-03;1.197329298233139E-03;
1.395285286285285E+09;1.107819664116189E-03;1.194342596698143E-03;
1.395345346345345E+09;1.117210695948849E-03;1.234918732705641E-03;
1.395405406405406E+09;1.135864310088192E-03;1.229560620466393E-03;
