sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-80.245574951171875,
1380008000.800080061,-79.31977081298828125,
1380016001.6001601219,-80.1504669189453125,
1380024002.4002401829,-79.608551025390625,
1380032003.2003202438,-79.29865264892578125,
1380040004.0004003048,-80.48058319091796875,
1380048004.8004803658,-80.5156402587890625,
1380056005.6005604267,-80.80983734130859375,
1380064006.4006404877,-79.83721923828125,
1380072007.2007205486,-79.59413909912109375,
1380080008.0008006096,-80.51718902587890625,
1380088008.8008806705,-80.27921295166015625,
1380096009.6009607315,-79.5848541259765625,
1380104010.4010407925,-79.81671142578125,
1380112011.2011208534,-78.93718719482421875,
1380120012.0012009144,-79.95700836181640625,
1380128012.8012809753,-79.96185302734375,
1380136013.6013610363,-79.8606719970703125,
1380144014.4014410973,-80.33974456787109375,
1380152015.2015211582,-79.299560546875,
1380160016.0016012192,-79.89763641357421875,
1380168016.8016812801,-78.9695587158203125,
1380176017.6017613411,-79.235137939453125,
1380184018.4018414021,-80.1272430419921875,
1380192019.201921463,-80.03339385986328125,
1380200020.002001524,-80.223602294921875,
1380208020.8020815849,-80.82697296142578125,
1380216021.6021616459,-80.65731048583984375,
1380224022.4022417068,-79.4586334228515625,
1380232023.2023217678,-79.9029388427734375,
1380240024.0024018288,-79.89812469482421875,
1380248024.8024818897,-80.52341461181640625,
1380256025.6025619507,-80.11737823486328125,
1380264026.4026420116,-79.1363067626953125,
1380272027.2027220726,-79.9125823974609375,
1380280028.0028021336,-80.04270172119140625,
1380288028.8028821945,-80.22161102294921875,
1380296029.6029622555,-79.73183441162109375,
1380304030.4030423164,-79.9744873046875,
1380312031.2031223774,-79.78200531005859375,
1380320032.0032024384,-79.79483795166015625,
1380328032.8032824993,-79.8769989013671875,
1380336033.6033625603,-79.86501312255859375,
1380344034.4034426212,-80.8259124755859375,
1380352035.2035226822,-79.08797454833984375,
1380360036.0036027431,-79.7782135009765625,
1380368036.8036828041,-80.1892242431640625,
1380376037.6037628651,-79.8134002685546875,
1380384038.403842926,-80.41808319091796875,
1380392039.203922987,-80.900115966796875,
1380400040.0040030479,-79.3261260986328125,
1380408040.8040831089,-78.9557647705078125,
1380416041.6041631699,-79.97838592529296875,
1380424042.4042432308,-80.2877960205078125,
1380432043.2043232918,-79.72052764892578125,
1380440044.0044033527,-80.04125213623046875,
1380448044.8044834137,-80.098175048828125,
1380456045.6045634747,-79.7280731201171875,
1380464046.4046435356,-79.44952392578125,
1380472047.2047235966,-79.76305389404296875,
1380480048.0048036575,-79.6716461181640625,
1380488048.8048837185,-79.9949188232421875,
