# Version 1.00
#
freq[Hz];re:Trc1_S21;im:Trc1_S21;
1.350000000000000E+09;-9.869534022037352E-01;-9.577623598825878E-01;
1.350050025012506E+09;-9.877747547248954E-01;-9.567249770769274E-01;
1.350100050025012E+09;-9.884551403306158E-01;-9.559933862309967E-01;
1.350150075037519E+09;-9.891205254596518E-01;-9.550903784651875E-01;
1.350200100050025E+09;-9.898696116595127E-01;-9.544808731937324E-01;
1.350250125062531E+09;-9.907534622137750E-01;-9.534863569203450E-01;
1.350300150075037E+09;-9.915591241634999E-01;-9.527937867899293E-01;
1.350350175087544E+09;-9.922230300720616E-01;-9.518793003682209E-01;
1.350400200100050E+09;-9.931655182066723E-01;-9.509913187982000E-01;
1.350450225112556E+09;-9.938144494225143E-01;-9.503228718520367E-01;
1.350500250125062E+09;-9.946149542598677E-01;-9.495695835662691E-01;
1.350550275137569E+09;-9.956090780440788E-01;-9.486514051653208E-01;
1.350600300150075E+09;-9.963561801460724E-01;-9.476966542899036E-01;
1.350650325162581E+09;-9.969909911453515E-01;-9.469790889340709E-01;
1.350700350175087E+09;-9.977566205409450E-01;-9.461215527490160E-01;
1.350750375187594E+09;-9.985065757585027E-01;-9.451498763816687E-01;
1.350800400200100E+09;-9.991842611965296E-01;-9.446041244219798E-01;
1.350850425212606E+09;-1.000069800700263E+00;-9.438471800825469E-01;
1.350900450225112E+09;-1.000839057464513E+00;-9.426481133071062E-01;
1.350950475237619E+09;-1.001674397734827E+00;-9.417404252052712E-01;
1.351000500250125E+09;-1.002428178376522E+00;-9.413235975814723E-01;
1.351050525262631E+09;-1.003175962222544E+00;-9.403599561707802E-01;
1.351100550275138E+09;-1.003835753993536E+00;-9.395866557859925E-01;
1.351150575287644E+09;-1.004859511367727E+00;-9.388220919649235E-01;
1.351200600300150E+09;-1.005361688394735E+00;-9.379049143057769E-01;
1.351250625312656E+09;-1.006232924052557E+00;-9.372582962396174E-01;
1.351300650325163E+09;-1.007146638824143E+00;-9.361854449561592E-01;
1.351350675337669E+09;-1.007789213064296E+00;-9.354120995868225E-01;
1.351400700350175E+09;-1.008632448478192E+00;-9.344816245418405E-01;
1.351450725362681E+09;-1.009222691351843E+00;-9.336416729940522E-01;
1.351500750375188E+09;-1.009926701054851E+00;-9.327479165723468E-01;
1.351550775387694E+09;-1.010670002302855E+00;-9.321199165401699E-01;
1.351600800400200E+09;-1.011405249714486E+00;-9.312708000623933E-01;
1.351650825412706E+09;-1.012168987874040E+00;-9.304949087727367E-01;
1.351700850425213E+09;-1.012929295973729E+00;-9.295326565762390E-01;
1.351750875437719E+09;-1.013883755092959E+00;-9.288526452194013E-01;
1.351800900450225E+09;-1.014490449119900E+00;-9.280063043645042E-01;
1.351850925462731E+09;-1.015475231100845E+00;-9.271360880772284E-01;
1.351900950475238E+09;-1.016199319836361E+00;-9.260972424605659E-01;
1.351950975487744E+09;-1.016851747233099E+00;-9.254193884428918E-01;
1.352001000500250E+09;-1.017576894575180E+00;-9.245624917107533E-01;
1.352051025512756E+09;-1.018355811831099E+00;-9.237185568423311E-01;
1.352101050525263E+09;-1.019152831118968E+00;-9.228999908125697E-01;
1.352151075537769E+09;-1.019782322024808E+00;-9.221595577156640E-01;
1.352201100550275E+09;-1.020682178636581E+00;-9.210705254335615E-01;
1.352251125562781E+09;-1.021323968183402E+00;-9.203252170198907E-01;
1.352301150575288E+09;-1.022050910591469E+00;-9.195327298223539E-01;
1.352351175587794E+09;-1.022755428456182E+00;-9.184708385669554E-01;
1.352401200600300E+09;-1.023735668517196E+00;-9.177151960873523E-01;
1.352451225612806E+09;-1.024448907016935E+00;-9.169224268640467E-01;
1.352501250625313E+09;-1.025108922703841E+00;-9.160829681183507E-01;
1.352551275637819E+09;-1.026029900599821E+00;-9.151558006378453E-01;
