# Version 1.00
#
freq[Hz];re:Trc1_S21;im:Trc1_S21;
9.000000000000000E+08;1.927770560696297E-01;-7.862378236665974E-01;
9.005002501250626E+08;1.852050197877792E-01;-7.879058386809623E-01;
9.010005002501251E+08;1.777544220466009E-01;-7.896896730675147E-01;
9.015007503751876E+08;1.703055953330930E-01;-7.913003470512143E-01;
9.020010005002501E+08;1.628004088227633E-01;-7.926833169027648E-01;
9.025012506253127E+08;1.554473195474937E-01;-7.942099458711529E-01;
9.030015007503752E+08;1.481149895217288E-01;-7.956268074274268E-01;
9.035017508754377E+08;1.408431398005332E-01;-7.969276707239860E-01;
9.040020010005002E+08;1.333968524659262E-01;-7.982221807453915E-01;
9.045022511255628E+08;1.262115272205125E-01;-7.994700039495659E-01;
9.050025012506254E+08;1.186642434770453E-01;-8.006255016971450E-01;
9.055027513756878E+08;1.114314234340528E-01;-8.017365788223914E-01;
9.060030015007504E+08;1.041327321300372E-01;-8.028670702496432E-01;
9.065032516258129E+08;9.681458139191765E-02;-8.038818560759082E-01;
9.070035017508755E+08;8.963557403159401E-02;-8.049346745366717E-01;
9.075037518759379E+08;8.246016578059198E-02;-8.058616531320397E-01;
9.080040020010005E+08;7.511587529043158E-02;-8.067578855883060E-01;
9.085042521260630E+08;6.785224849769991E-02;-8.076925460785668E-01;
9.090045022511256E+08;6.068217193513926E-02;-8.083876760020219E-01;
9.095047523761880E+08;5.334935992748437E-02;-8.091828725556841E-01;
9.100050025012506E+08;4.628225348826892E-02;-8.098511952818280E-01;
9.105052526263132E+08;3.897301566149635E-02;-8.105406196122047E-01;
9.110055027513757E+08;3.184052321591279E-02;-8.112392693854034E-01;
9.115057528764383E+08;2.474664706164359E-02;-8.116487908407173E-01;
9.120060030015007E+08;1.762894954330142E-02;-8.122217586112077E-01;
9.125062531265633E+08;1.040326191826384E-02;-8.127197199669817E-01;
9.130065032516258E+08;3.338343335097868E-03;-8.131609204921586E-01;
9.135067533766884E+08;-3.850933760117848E-03;-8.136440117465880E-01;
9.140070035017508E+08;-1.092224669849876E-02;-8.138513384657522E-01;
9.145072536268134E+08;-1.808721929086106E-02;-8.142245779289277E-01;
9.150075037518760E+08;-2.522133008872843E-02;-8.145739820423435E-01;
9.155077538769385E+08;-3.220980037936574E-02;-8.147946803709329E-01;
9.160080040020010E+08;-3.914589184696867E-02;-8.151364387451207E-01;
9.165082541270635E+08;-4.639711992145275E-02;-8.152110068505685E-01;
9.170085042521261E+08;-5.345270945850437E-02;-8.153374243182631E-01;
9.175087543771886E+08;-6.051689551297554E-02;-8.155633164977905E-01;
9.180090045022511E+08;-6.762797634765326E-02;-8.156378697481462E-01;
9.185092546273136E+08;-7.463259446845180E-02;-8.156258571593807E-01;
9.190095047523762E+08;-8.183213295082975E-02;-8.157554170244823E-01;
9.195097548774387E+08;-8.889518003332741E-02;-8.156259220895442E-01;
9.200100050025012E+08;-9.609531563135514E-02;-8.156634934789178E-01;
9.205102551275638E+08;-1.032254605604847E-01;-8.154561268435868E-01;
9.210105052526263E+08;-1.103360467219108E-01;-8.153374768945266E-01;
9.215107553776889E+08;-1.174903333416130E-01;-8.152320738989981E-01;
9.220110055027514E+08;-1.246670975449325E-01;-8.149324075323749E-01;
9.225112556278139E+08;-1.318456998026651E-01;-8.147004295236451E-01;
9.230115057528764E+08;-1.388987432135141E-01;-8.145324885888530E-01;
9.235117558779390E+08;-1.461590202154693E-01;-8.141754332554418E-01;
9.240120060030015E+08;-1.533564863974007E-01;-8.137876440306743E-01;
9.245122561280640E+08;-1.604857433704635E-01;-8.133751080110323E-01;
9.250125062531266E+08;-1.676682884254234E-01;-8.129709630281272E-01;
9.255127563781891E+08;-1.750316491263224E-01;-8.125316056819134E-01;
9.260130065032517E+08;-1.821437983831943E-01;-8.117948037182473E-01;
9.265132566283141E+08;-1.894317715131675E-01;-8.112275151798102E-01;
9.270135067533767E+08;-1.967599332826754E-01;-8.106504854067355E-01;
9.275137568784392E+08;-2.040573296985205E-01;-8.099622100290047E-01;
9.280140070035018E+08;-2.114534558424636E-01;-8.093030061414023E-01;
9.285142571285642E+08;-2.188506816787635E-01;-8.083816381521483E-01;
9.290145072536268E+08;-2.261458749533216E-01;-8.077501211256288E-01;
9.295147573786893E+08;-2.334616062814808E-01;-8.068907755617033E-01;
9.300150075037519E+08;-2.409505302261821E-01;-8.060564849400431E-01;
9.305152576288145E+08;-2.482799762651992E-01;-8.048534770858788E-01;
9.310155077538769E+08;-2.556767409204005E-01;-8.039625686289131E-01;
9.315157578789395E+08;-2.632793312794049E-01;-8.027900793959263E-01;
9.320160080040020E+08;-2.706269675151434E-01;-8.018384015688237E-01;
9.325162581290646E+08;-2.781096828021518E-01;-8.005634530211222E-01;
9.330165082541270E+08;-2.857200117568390E-01;-7.991874474272314E-01;
9.335167583791896E+08;-2.931004911456925E-01;-7.979898109369803E-01;
9.340170085042521E+08;-3.006365953743115E-01;-7.965370367568210E-01;
9.345172586293147E+08;-3.083470519217386E-01;-7.950849314503138E-01;
9.350175087543771E+08;-3.159018436530215E-01;-7.936855867753334E-01;
