# Version 1.00
#
freq[Hz];re:Trc1_S21;im:Trc1_S21;
1.350000000000000E+09;-7.059318665999610E-01;-1.150215706152504E+00;
1.350050025012506E+09;-7.069664931629290E-01;-1.149763457222706E+00;
1.350100050025012E+09;-7.080377226388658E-01;-1.149545158538254E+00;
1.350150075037519E+09;-7.090471577154447E-01;-1.149007160204692E+00;
1.350200100050025E+09;-7.099001373026104E-01;-1.148614735650610E+00;
1.350250125062531E+09;-7.109953693223867E-01;-1.148085121264015E+00;
1.350300150075037E+09;-7.117612018847594E-01;-1.147654506030939E+00;
1.350350175087544E+09;-7.125991561171152E-01;-1.147312169126857E+00;
1.350400200100050E+09;-7.139319292008925E-01;-1.146847587235156E+00;
1.350450225112556E+09;-7.146563594938561E-01;-1.146349976147358E+00;
1.350500250125062E+09;-7.158294961520515E-01;-1.146191788231768E+00;
1.350550275137569E+09;-7.167006249904229E-01;-1.145603227960556E+00;
1.350600300150075E+09;-7.175905431055992E-01;-1.144854923007458E+00;
1.350650325162581E+09;-7.185585040652375E-01;-1.144506368013529E+00;
1.350700350175087E+09;-7.196405173563027E-01;-1.144275723295301E+00;
1.350750375187594E+09;-7.205239199399068E-01;-1.143764716627537E+00;
1.350800400200100E+09;-7.215855057217790E-01;-1.143401212604194E+00;
1.350850425212606E+09;-7.222997455628354E-01;-1.142875999041044E+00;
1.350900450225112E+09;-7.234383148866447E-01;-1.142213953352004E+00;
1.350950475237619E+09;-7.243253001521496E-01;-1.141819238706867E+00;
1.351000500250125E+09;-7.253917873963920E-01;-1.141476048640196E+00;
1.351050525262631E+09;-7.261040226746650E-01;-1.140872116635723E+00;
1.351100550275138E+09;-7.271177303045423E-01;-1.140599603516567E+00;
1.351150575287644E+09;-7.282543257784078E-01;-1.140165389147086E+00;
1.351200600300150E+09;-7.292394218881878E-01;-1.139760674447073E+00;
1.351250625312656E+09;-7.303097078619049E-01;-1.139302504858206E+00;
1.351300650325163E+09;-7.312559753286137E-01;-1.138723288649141E+00;
1.351350675337669E+09;-7.319927927692266E-01;-1.138360854930950E+00;
1.351400700350175E+09;-7.332162643988414E-01;-1.137912101192669E+00;
1.351450725362681E+09;-7.339086175658569E-01;-1.137248091296611E+00;
1.351500750375188E+09;-7.350190553343385E-01;-1.136971122391472E+00;
1.351550775387694E+09;-7.358986841476427E-01;-1.136419369542981E+00;
1.351600800400200E+09;-7.369722805972643E-01;-1.135889570088693E+00;
1.351650825412706E+09;-7.378370178009368E-01;-1.135458680971299E+00;
1.351700850425213E+09;-7.389778790592111E-01;-1.134959620325294E+00;
1.351750875437719E+09;-7.398719831586018E-01;-1.134467143935680E+00;
1.351800900450225E+09;-7.408279271325007E-01;-1.134006754368365E+00;
1.351850925462731E+09;-7.417779965854374E-01;-1.133566065115078E+00;
1.351900950475238E+09;-7.426997345367101E-01;-1.133208813404810E+00;
1.351950975487744E+09;-7.437376357020764E-01;-1.132549816905788E+00;
1.352001000500250E+09;-7.448308752402090E-01;-1.132292419802409E+00;
1.352051025512756E+09;-7.455775679176829E-01;-1.131822412958055E+00;
1.352101050525263E+09;-7.467241404072770E-01;-1.131259802147096E+00;
1.352151075537769E+09;-7.473933821259809E-01;-1.130761924596185E+00;
1.352201100550275E+09;-7.484445086452964E-01;-1.130076745480527E+00;
1.352251125562781E+09;-7.494585033316177E-01;-1.130019792356361E+00;
1.352301150575288E+09;-7.504852308014371E-01;-1.129444290350635E+00;
1.352351175587794E+09;-7.515247726722901E-01;-1.128732728054167E+00;
1.352401200600300E+09;-7.523397580334421E-01;-1.128515829225301E+00;
1.352451225612806E+09;-7.532045329986580E-01;-1.127888595628465E+00;
1.352501250625313E+09;-7.541397442914376E-01;-1.127391535953197E+00;
1.352551275637819E+09;-7.552556963647948E-01;-1.126827050753623E+00;
1.352601300650325E+09;-7.561764397725964E-01;-1.126480853865130E+00;
1.352651325662831E+09;-7.568680485161228E-01;-1.125952870702426E+00;
1.352701350675338E+09;-7.579492760252152E-01;-1.125492740411800E+00;
1.352751375687844E+09;-7.588086596449286E-01;-1.125079131813090E+00;
1.352801400700350E+09;-7.599805129851462E-01;-1.124534022089672E+00;
1.352851425712857E+09;-7.608405501756201E-01;-1.123974996626184E+00;
1.352901450725363E+09;-7.618289126890080E-01;-1.123391046073827E+00;
1.352951475737869E+09;-7.627222238034563E-01;-1.122810640699789E+00;
1.353001500750375E+09;-7.637138833790280E-01;-1.122391228171616E+00;
1.353051525762882E+09;-7.645426919831055E-01;-1.121959299001441E+00;
1.353101550775388E+09;-7.658168006138965E-01;-1.121509780848284E+00;
1.353151575787894E+09;-7.665216525251564E-01;-1.121075494375817E+00;
1.353201600800400E+09;-7.676642417475122E-01;-1.120551512560100E+00;
1.353251625812907E+09;-7.683838556108332E-01;-1.120053108963913E+00;
1.353301650825413E+09;-7.694449121074906E-01;-1.119616412792099E+00;
1.353351675837919E+09;-7.703679587874089E-01;-1.119038614828151E+00;
1.353401700850425E+09;-7.713964500902268E-01;-1.118585994528288E+00;
1.353451725862931E+09;-7.722363528762579E-01;-1.118149077360153E+00;
1.353501750875438E+09;-7.732573232958535E-01;-1.117566883933623E+00;
1.353551775887944E+09;-7.741373353712230E-01;-1.116890348180340E+00;
1.353601800900450E+09;-7.752622811486702E-01;-1.116789946532093E+00;
1.353651825912956E+09;-7.762240857173152E-01;-1.116016546299510E+00;
1.353701850925463E+09;-7.770392088149335E-01;-1.115540578922964E+00;
1.353751875937969E+09;-7.781934951325871E-01;-1.114952827861359E+00;
1.353801900950475E+09;-7.790143717261292E-01;-1.114593068040257E+00;
1.353851925962981E+09;-7.799662935054846E-01;-1.114057181116520E+00;
1.353901950975488E+09;-7.806494625802688E-01;-1.113519625283592E+00;
1.353951975987994E+09;-7.817670283251714E-01;-1.112822870613386E+00;
1.354002001000500E+09;-7.826848407043581E-01;-1.112423942192953E+00;
1.354052026013006E+09;-7.838646335311221E-01;-1.111926024295926E+00;
1.354102051025513E+09;-7.848742179707411E-01;-1.111474801304300E+00;
1.354152076038019E+09;-7.856913832611442E-01;-1.111035524977649E+00;
1.354202101050525E+09;-7.865390448794598E-01;-1.110627118664247E+00;
1.354252126063031E+09;-7.876433956644595E-01;-1.109898495456494E+00;
1.354302151075538E+09;-7.884752629496234E-01;-1.109429414912851E+00;
1.354352176088044E+09;-7.895856005232871E-01;-1.108986031398789E+00;
1.354402201100550E+09;-7.904980339465288E-01;-1.108514655772224E+00;
1.354452226113056E+09;-7.910924129942997E-01;-1.107952837390638E+00;
1.354502251125563E+09;-7.921355862116789E-01;-1.107378455844133E+00;
1.354552276138069E+09;-7.930059088928390E-01;-1.106970757292065E+00;
1.354602301150575E+09;-7.941751649428342E-01;-1.106340250481614E+00;
1.354652326163082E+09;-7.950626923046537E-01;-1.105819551575315E+00;
1.354702351175588E+09;-7.960289333807735E-01;-1.105509811456479E+00;
1.354752376188094E+09;-7.970117059408307E-01;-1.104656362482819E+00;
1.354802401200600E+09;-7.976492540242434E-01;-1.104381835616762E+00;
1.354852426213107E+09;-7.988408896656810E-01;-1.103719071980327E+00;
1.354902451225613E+09;-7.998439634428481E-01;-1.103253773083329E+00;
1.354952476238119E+09;-8.006505480773801E-01;-1.102884157661193E+00;
1.355002501250625E+09;-8.016101298454928E-01;-1.102190712936616E+00;
1.355052526263132E+09;-8.027730341333997E-01;-1.101391079102334E+00;
1.355102551275638E+09;-8.036170950496596E-01;-1.101100583887572E+00;
1.355152576288144E+09;-8.044930715589760E-01;-1.100515970110493E+00;
1.355202601300650E+09;-8.054313866414827E-01;-1.099905764885845E+00;
1.355252626313157E+09;-8.065008169818910E-01;-1.099487729255662E+00;
1.355302651325663E+09;-8.074045574153337E-01;-1.098872068921809E+00;
1.355352676338169E+09;-8.083421252783101E-01;-1.098472112709373E+00;
1.355402701350675E+09;-8.092430859765846E-01;-1.097820190670557E+00;
1.355452726363182E+09;-8.101258783173405E-01;-1.097204137445372E+00;
1.355502751375688E+09;-8.109737328810875E-01;-1.096863156504336E+00;
1.355552776388194E+09;-8.119185706401152E-01;-1.096228437086571E+00;
1.355602801400700E+09;-8.129251806020966E-01;-1.095663269367909E+00;
1.355652826413207E+09;-8.138101361732748E-01;-1.095134097401762E+00;
1.355702851425713E+09;-8.145731052585889E-01;-1.094538155687797E+00;
1.355752876438219E+09;-8.157934515852121E-01;-1.093952319531972E+00;
1.355802901450725E+09;-8.167450724890346E-01;-1.093570742625280E+00;
1.355852926463232E+09;-8.177176684407762E-01;-1.093102844864271E+00;
1.355902951475738E+09;-8.187025480196124E-01;-1.092391452763849E+00;
1.355952976488244E+09;-8.194715982005110E-01;-1.092022910596130E+00;
1.356003001500750E+09;-8.205235891190775E-01;-1.091227680874269E+00;
1.356053026513257E+09;-8.214471276218428E-01;-1.090783300847558E+00;
1.356103051525763E+09;-8.223220350608629E-01;-1.090273217194868E+00;
1.356153076538269E+09;-8.231620489575010E-01;-1.089673200612244E+00;
1.356203101550775E+09;-8.241097589764250E-01;-1.089100671590040E+00;
1.356253126563282E+09;-8.250123065081698E-01;-1.088603772851106E+00;
1.356303151575788E+09;-8.260514534246446E-01;-1.087985481910541E+00;
1.356353176588294E+09;-8.269148922080091E-01;-1.087444201069213E+00;
1.356403201600801E+09;-8.280056656408296E-01;-1.086881392545068E+00;
1.356453226613307E+09;-8.288413438261493E-01;-1.086398379135978E+00;
1.356503251625813E+09;-8.298650720105646E-01;-1.086012568541525E+00;
1.356553276638319E+09;-8.307725312853913E-01;-1.085383702179603E+00;
1.356603301650826E+09;-8.316477662024494E-01;-1.084644837716186E+00;
1.356653326663332E+09;-8.323321098112987E-01;-1.083972299842517E+00;
1.356703351675838E+09;-8.334415675739325E-01;-1.083573265489533E+00;
1.356753376688344E+09;-8.344102189840927E-01;-1.083022594326525E+00;
1.356803401700850E+09;-8.354009641373379E-01;-1.082419769462863E+00;
1.356853426713357E+09;-8.361323718135181E-01;-1.081962448537517E+00;
1.356903451725863E+09;-8.371187960412501E-01;-1.081392860850491E+00;
1.356953476738369E+09;-8.381129304999594E-01;-1.080743014972492E+00;
1.357003501750875E+09;-8.390898973368329E-01;-1.080296831064340E+00;
1.357053526763382E+09;-8.401091583240521E-01;-1.079692593530640E+00;
1.357103551775888E+09;-8.408517913689000E-01;-1.079062484491168E+00;
1.357153576788394E+09;-8.418411964952002E-01;-1.078466210462246E+00;
1.357203601800900E+09;-8.429648074393186E-01;-1.078021063488928E+00;
1.357253626813407E+09;-8.437099324829296E-01;-1.077316748477534E+00;
1.357303651825913E+09;-8.447531162266699E-01;-1.076752274109603E+00;
1.357353676838419E+09;-8.456881734956533E-01;-1.076378411386656E+00;
1.357403701850925E+09;-8.465702064882921E-01;-1.075607766268222E+00;
1.357453726863432E+09;-8.476411213230940E-01;-1.074950560574030E+00;
1.357503751875938E+09;-8.485477983149625E-01;-1.074389109871011E+00;
1.357553776888444E+09;-8.494138226263979E-01;-1.073639007772589E+00;
1.357603801900950E+09;-8.503991616412957E-01;-1.073450327590656E+00;
1.357653826913457E+09;-8.512637805333666E-01;-1.072737867179726E+00;
1.357703851925963E+09;-8.521561374755093E-01;-1.072220461141710E+00;
1.357753876938469E+09;-8.530142238512012E-01;-1.071368258545323E+00;
1.357803901950975E+09;-8.541275647630057E-01;-1.071188776973295E+00;
1.357853926963482E+09;-8.550031574856441E-01;-1.070334270421460E+00;
1.357903951975988E+09;-8.558957044149164E-01;-1.069795185397314E+00;
1.357953976988494E+09;-8.567787556873534E-01;-1.069288492171098E+00;
1.358004002001000E+09;-8.576308694698972E-01;-1.068667986734388E+00;
1.358054027013507E+09;-8.583705219973364E-01;-1.068044346528979E+00;
1.358104052026013E+09;-8.596270596747065E-01;-1.067414262732056E+00;
1.358154077038519E+09;-8.603661546887507E-01;-1.066961982543465E+00;
1.358204102051026E+09;-8.611208739876199E-01;-1.066453177246802E+00;
1.358254127063532E+09;-8.622434269180420E-01;-1.065833886318459E+00;
1.358304152076038E+09;-8.631056158666849E-01;-1.064973835679801E+00;
1.358354177088544E+09;-8.640533430804290E-01;-1.064379065910733E+00;
1.358404202101051E+09;-8.649004455593710E-01;-1.063950934261298E+00;
1.358454227113557E+09;-8.660678841038945E-01;-1.063393687776795E+00;
1.358504252126063E+09;-8.669508099601563E-01;-1.062723453243271E+00;
1.358554277138569E+09;-8.677396971222154E-01;-1.062220491274799E+00;
1.358604302151076E+09;-8.686224446158516E-01;-1.061394895047563E+00;
1.358654327163582E+09;-8.695082418698786E-01;-1.060859159932527E+00;
1.358704352176088E+09;-8.703940496476147E-01;-1.060284453206744E+00;
1.358754377188594E+09;-8.714984531045157E-01;-1.059703588907353E+00;
1.358804402201101E+09;-8.722845171148446E-01;-1.059194814969630E+00;
1.358854427213607E+09;-8.733153943686816E-01;-1.058496790737696E+00;
1.358904452226113E+09;-8.740294924079619E-01;-1.058186037067644E+00;
1.358954477238619E+09;-8.751881801332452E-01;-1.057235235739028E+00;
1.359004502251126E+09;-8.762540909494264E-01;-1.056684279455063E+00;
1.359054527263632E+09;-8.769507300412994E-01;-1.056213315777132E+00;
1.359104552276138E+09;-8.778896430565567E-01;-1.055641139819644E+00;
1.359154577288644E+09;-8.788576837915483E-01;-1.054792437411980E+00;
1.359204602301151E+09;-8.796672350551946E-01;-1.054343089122863E+00;
1.359254627313657E+09;-8.806257808647602E-01;-1.053661695074947E+00;
1.359304652326163E+09;-8.814903433566966E-01;-1.053169644385603E+00;
1.359354677338669E+09;-8.824323683289514E-01;-1.052424341548522E+00;
1.359404702351176E+09;-8.830940857899495E-01;-1.051763308969207E+00;
1.359454727363682E+09;-8.843143275924298E-01;-1.051298059629670E+00;
1.359504752376188E+09;-8.850608785340984E-01;-1.050530218596227E+00;
1.359554777388694E+09;-8.858663635084748E-01;-1.050055368579028E+00;
1.359604802401201E+09;-8.870045423340668E-01;-1.049310617956586E+00;
1.359654827413707E+09;-8.877089326945573E-01;-1.048868341074054E+00;
1.359704852426213E+09;-8.887311048612584E-01;-1.048136032966127E+00;
1.359754877438719E+09;-8.894867325048257E-01;-1.047687813618009E+00;
1.359804902451226E+09;-8.905075088485803E-01;-1.047160849156974E+00;
1.359854927463732E+09;-8.915093097953076E-01;-1.046246858852095E+00;
1.359904952476238E+09;-8.921548990983272E-01;-1.045612597011488E+00;
1.359954977488744E+09;-8.932708995566356E-01;-1.045099770535140E+00;
1.360005002501251E+09;-8.941679471587756E-01;-1.044446912268886E+00;
1.360055027513757E+09;-8.951233681495564E-01;-1.043845295336750E+00;
1.360105052526263E+09;-8.957402843085843E-01;-1.043082129606343E+00;
1.360155077538769E+09;-8.967610960803947E-01;-1.042492271094783E+00;
1.360205102551276E+09;-8.975188315472989E-01;-1.041998186154495E+00;
1.360255127563782E+09;-8.985676838868560E-01;-1.041513393698812E+00;
1.360305152576288E+09;-8.994343819351123E-01;-1.040702907360106E+00;
1.360355177588794E+09;-9.003068296117739E-01;-1.040143934580475E+00;
1.360405202601301E+09;-9.012949901328400E-01;-1.039402522581789E+00;
1.360455227613807E+09;-9.022653273807075E-01;-1.038745369170735E+00;
1.360505252626313E+09;-9.030767681156686E-01;-1.038350893570541E+00;
1.360555277638819E+09;-9.039004926401696E-01;-1.037550347216025E+00;
1.360605302651326E+09;-9.050077466615823E-01;-1.037088133319019E+00;
1.360655327663832E+09;-9.058262341273227E-01;-1.036234073847580E+00;
1.360705352676338E+09;-9.068569343342368E-01;-1.035767925890219E+00;
1.360755377688844E+09;-9.078196655936225E-01;-1.034857594145946E+00;
1.360805402701351E+09;-9.087182757972083E-01;-1.034468156979113E+00;
1.360855427713857E+09;-9.093810210110252E-01;-1.033865522671245E+00;
1.360905452726363E+09;-9.103859645303871E-01;-1.033221587252785E+00;
1.360955477738869E+09;-9.113934172056047E-01;-1.032593412052636E+00;
