# Version 1.00
#
freq[Hz];re:Trc1_S21;im:Trc1_S21;
9.000000000000000E+08;2.545883892686098E-01;-7.637735217496061E-01;
9.005002501250626E+08;2.472803843277226E-01;-7.666276275747338E-01;
9.010005002501251E+08;2.399873072203359E-01;-7.692593085498545E-01;
9.015007503751876E+08;2.327800928182387E-01;-7.719762128298119E-01;
9.020010005002501E+08;2.255437079552895E-01;-7.746069845280581E-01;
9.025012506253127E+08;2.184086193180528E-01;-7.770945763188019E-01;
9.030015007503752E+08;2.111694109420280E-01;-7.795508137163462E-01;
9.035017508754377E+08;2.037936468623870E-01;-7.818846848078084E-01;
9.040020010005002E+08;1.965382838105884E-01;-7.842991197899650E-01;
9.045022511255628E+08;1.893926740866380E-01;-7.864276153916584E-01;
9.050025012506254E+08;1.820410216197742E-01;-7.887079117472997E-01;
9.055027513756878E+08;1.747791163687849E-01;-7.907776391345320E-01;
9.060030015007504E+08;1.674413033110753E-01;-7.927682789165096E-01;
9.065032516258129E+08;1.601724372290215E-01;-7.947595209917264E-01;
9.070035017508755E+08;1.530481980042712E-01;-7.967104033393339E-01;
9.075037518759379E+08;1.457526682110278E-01;-7.985902455524601E-01;
9.080040020010005E+08;1.385877116750347E-01;-8.003400224574748E-01;
9.085042521260630E+08;1.311708221769974E-01;-8.022526164186781E-01;
9.090045022511256E+08;1.239335405886456E-01;-8.039438109119698E-01;
9.095047523761880E+08;1.167110696224788E-01;-8.055588941570643E-01;
9.100050025012506E+08;1.094195503382033E-01;-8.071479162267362E-01;
9.105052526263132E+08;1.022419282009744E-01;-8.086645288003620E-01;
9.110055027513757E+08;9.498541551910478E-02;-8.101599677630779E-01;
9.115057528764383E+08;8.764319731930394E-02;-8.114617135009013E-01;
9.120060030015007E+08;8.057734965780780E-02;-8.129534107531502E-01;
9.125062531265633E+08;7.318920494380492E-02;-8.143150828199105E-01;
9.130065032516258E+08;6.604213904629812E-02;-8.155875206908462E-01;
9.135067533766884E+08;5.874753837152909E-02;-8.167958608710325E-01;
9.140070035017508E+08;5.158082395450595E-02;-8.179884875420890E-01;
