sep=,
Type,ZNL6,
Version,1.71,
Date,18.Dec 2025,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,1420000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1380000000.000000,Hz
Stop,1460000000.000000,Hz
Span,80000000.000000,Hz
Ref Level,-45.900000,dBm
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,1000000.000000,Hz
SWT,1.000000,s
Sweep Count,2000,
Window,1,Frequency Sweep
Ref Position,117.000000,%
Level Range,68.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBm,
Trace,1,
Trace Mode,MAXHOLD,
Detector,MAXPEAK,
Values,10000,
1380000000,-79.66991424560546875,
1380008000.800080061,-80.1340484619140625,
1380016001.6001601219,-79.9176788330078125,
1380024002.4002401829,-79.14595794677734375,
1380032003.2003202438,-79.5710906982421875,
1380040004.0004003048,-78.33936309814453125,
1380048004.8004803658,-79.25791168212890625,
1380056005.6005604267,-79.15171051025390625,
1380064006.4006404877,-77.91431427001953125,
1380072007.2007205486,-79.58826446533203125,
1380080008.0008006096,-79.097991943359375,
1380088008.8008806705,-79.53133392333984375,
1380096009.6009607315,-78.8104705810546875,
1380104010.4010407925,-79.80362701416015625,
1380112011.2011208534,-80.11676025390625,
1380120012.0012009144,-79.94329071044921875,
1380128012.8012809753,-79.535491943359375,
1380136013.6013610363,-79.474761962890625,
1380144014.4014410973,-79.91962432861328125,
1380152015.2015211582,-79.196441650390625,
1380160016.0016012192,-79.69528961181640625,
1380168016.8016812801,-79.7632598876953125,
1380176017.6017613411,-79.88399505615234375,
1380184018.4018414021,-78.85134124755859375,
1380192019.201921463,-80.10739898681640625,
1380200020.002001524,-79.27762603759765625,
1380208020.8020815849,-79.55397796630859375,
1380216021.6021616459,-78.957366943359375,
1380224022.4022417068,-80.0931243896484375,
1380232023.2023217678,-79.52350616455078125,
1380240024.0024018288,-79.0647125244140625,
1380248024.8024818897,-79.2960205078125,
1380256025.6025619507,-79.8907318115234375,
1380264026.4026420116,-79.425872802734375,
1380272027.2027220726,-79.26956939697265625,
1380280028.0028021336,-79.80698394775390625,
1380288028.8028821945,-80.10150146484375,
1380296029.6029622555,-78.90399169921875,
1380304030.4030423164,-79.533203125,
1380312031.2031223774,-79.069976806640625,
1380320032.0032024384,-79.52674102783203125,
1380328032.8032824993,-79.98940277099609375,
1380336033.6033625603,-79.69672393798828125,
1380344034.4034426212,-79.80080413818359375,
1380352035.2035226822,-79.5341339111328125,
1380360036.0036027431,-79.36365509033203125,
1380368036.8036828041,-79.49729156494140625,
1380376037.6037628651,-79.9003753662109375,
1380384038.403842926,-79.24187469482421875,
1380392039.203922987,-78.9768524169921875,
1380400040.0040030479,-79.81414794921875,
1380408040.8040831089,-79.26377105712890625,
1380416041.6041631699,-79.280792236328125,
1380424042.4042432308,-79.47113800048828125,
1380432043.2043232918,-80.00157928466796875,
1380440044.0044033527,-80.19962310791015625,
1380448044.8044834137,-79.74578857421875,
1380456045.6045634747,-79.17917633056640625,
1380464046.4046435356,-78.62522125244140625,
1380472047.2047235966,-80.13311004638671875,
1380480048.0048036575,-79.442779541015625,
1380488048.8048837185,-79.96319580078125,
1380496049.6049637794,-78.718841552734375,
